Word	product	level
+	H(+)/Cl(-) exchange transporter ClcA	2
0	Silent protein UshA(0)	2
1	3-phosphoshikimate 1-carboxyvinyltransferase	2
2	"2,5-dichlorohydroquinone reductive dechlorinase"	2
3	2-dehydro-3-deoxygalactonokinase	2
4	4-pyridoxolactonase	2
5	"2,5-dichlorohydroquinone reductive dechlorinase"	2
6	6-phosphogluconolactonase	2
7	Aklavinone 7-beta-L-rhodosaminyltransferase	2
8	Capsular polysaccharide type 8 biosynthesis protein cap8A	2
9	RTX-I toxin determinant A from serotypes 1/9	2
A	30S ribosomal protein S1 homolog A	2
B	30S ribosomal protein S1 homolog B	2
C	30S ribosomal protein S21 C	2
D	Alpha-D-kanosaminyltransferase	2
E	Aminopeptidase E	2
F	Anti-sigma F factor	2
G	Aminopeptidase G	2
H	Bifunctional NAD(P)H-hydrate repair enzyme Nnr	2
I	Anti-sigma-I factor RsgI	2
J	Bacteriocin helveticin-J	2
K	Anti-sigma-K factor RskA	2
L	Aklavinone 7-beta-L-rhodosaminyltransferase	2
M	Anti-sigma-M factor RsmA	2
N	Aminopeptidase N	2
O	Listeriolysin O	2
P	Bacteriocin enterocin-P	2
Q	Fimbrial protein Q	2
R	Low calcium response locus protein R	2
S	Aminopeptidase S	2
T	Aminopeptidase T	2
U	Nodulation protein U	2
V	Anti-sigma-V factor RsiV	2
W	Aminopeptidase W	2
X	Acetoin catabolism protein X	2
Y	Fimbriae Y protein	2
Z	30S ribosomal protein S14 type Z	2
a	Bacteriochlorophyll a protein	2
b	Chlorophyll a/b light-harvesting protein Pcb	2
c	Bacteriochlorophyll c-binding protein	2
f	Apocytochrome f	2
n	Primosomal replication protein n	2
w	Sigma-w pathway protein YsdB	2
1	Uncharacterized protein pXO1-01/BXA0003/GBAA_pXO1_0003	2
4	Uncharacterized protein pXO2-04/BXB0002/GBAA_pXO2_0002	2
5	Uncharacterized protein pXO2-05/BXB0004/GBAA_pXO2_0004	2
6	Uncharacterized protein pXO2-06/BXB0005/GBAA_pXO2_0005	2
7	Uncharacterized protein pXO2-07/BXB0006/GBAA_pXO2_0006	2
9	Uncharacterized protein pXO2-09/BXB0008/GBAA_pXO2_0008	2
10	Colicin-10	2
11	Putative ESAT-6-like protein 11	2
12	"M protein, serotype 12"	2
13	General stress protein 13	2
14	General stress protein 14	2
15	Heat shock protein 15	2
16	Transposase InsH for insertion sequence element IS5-16	2
17	Hemagglutinin component HA-17	2
18	Allophycocyanin subunit beta-18	2
19	Uncharacterized protein pXO2-19/BXB0018/GBAA_pXO2_0018	2
1A	Penicillin-binding protein 1A	2
1B	Penicillin-binding protein 1A/1B	2
1C	Penicillin-binding protein 1C	2
1F	Penicillin-binding protein 1F	2
2+	Mg(2+)/citrate complex secondary transporter	2
20	Uncharacterized protein pXO2-20/BXB0019/GBAA_pXO2_0019	2
21	Uncharacterized protein pXO2-21/BXB0020/GBAA_pXO2_0020	2
22	Hemagglutinin components HA-22/23/53	2
23	Alkaline shock protein 23	2
24	Microcin-24	2
25	Uncharacterized protein pXO2-25/BXB0023/GBAA_pXO2_0023	2
26	General stress protein 26	2
27	Uncharacterized protein pXO2-27/BXB0026/GBAA_pXO2_0026	2
28	Lipoprotein 28	2
29	Uncharacterized protein pXO2-29/pXO2-30/BXB0028/GBAA_pXO2_0028	2
2B	Penicillin-binding protein 2B	2
2D	Penicillin-binding protein 2D	2
2S	"Ferredoxin, 2Fe-2S"	2
2X	Penicillin-binding protein 2X	2
2s	"Ferredoxin, 2Fe-2s"	2
2x	Penicillin-binding protein 2x	2
3+	Fe(3+) ions import ATP-binding protein FbpC	2
30	General stress protein 30	2
31	Uncharacterized protein pXO2-31/BXB0029/GBAA_pXO2_0029	2
32	Uncharacterized protein pXO2-32/BXB0031/GBAA_pXO2_0031	2
33	Uncharacterized protein pXO2-33/BXB0032/GBAA_pXO2_0032	2
34	Uncharacterized protein pXO2-34/BXB0033/GBAA_pXO2_0033	2
35	RNA polymerase sigma-35 factor	2
37	Uncharacterized protein pXO2-37/BXB0038/GBAA_pXO2_0038	2
39	General stress protein 39	2
4*	Penicillin-binding protein 4*	0
40	Outer membrane protein 40	2
41	Outer membrane protein 41	2
43	Antigen 43	2
44	Uncharacterized protein pXO2-44/BXB0049/GBAA_pXO2_0049	2
45	UPF0145 protein pXO2-45/BXB0052/GBAA_pXO2_0052	2
48	Uncharacterized HTH-type transcriptional regulator pXO2-48/BXB0055/GBAA_pXO2_0055	2
49	"M protein, serotype 49"	2
4B	Penicillin-binding protein 4B	2
52	Uncharacterized protein pXO2-52/BXB0059/GBAA_pXO2_0059	2
53	Hemagglutinin components HA-22/23/53	2
54	Putative RNA polymerase sigma-54 factor	2
57	Prophage CP4-57 regulatory protein AlpA	2
5A	Endoglucanase 5A	2
60	Uncharacterized protein pXO2-60/BXB0074/GBAA_pXO2_0074	2
61	Uncharacterized protein pXO2-61/BXB0075/GBAA_pXO2_0075	2
62	Putative trans-acting regulator pXO2-62/BXB0076/GBAA_pXO2_0076	2
63	Chitinase 63	2
65	Uncharacterized protein pXO2-65/BXB0087/GBAA_pXO2_0087	2
67	Uncharacterized protein pXO2-67/BXB0090/GBAA_pXO2_0090	2
68	Uncharacterized protein pXO2-68/BXB0093/GBAA_pXO2_0093	2
69	General stress protein 69	2
6b	Protein 6b	2
72	Uncharacterized protein pXO2-72/BXB0098/GBAA_pXO2_0098	2
74	Uncharacterized protein pXO2-74/BXB0102/GBAA_pXO2_0102	2
78	Uncharacterized protein pXO2-78/BXB0107/GBAA_pXO2_0107	2
80	Uncharacterized protein pXO2-80/BXB0110/GBAA_pXO2_0110	2
81	Uncharacterized protein pXO2-81/BXB0111/GBAA_pXO2_0111	2
82	Uncharacterized protein pXO2-82/BXB0112/GBAA_pXO2_0112	2
83	Uncharacterized protein pXO2-83/BXB0113/GBAA_pXO2_0113	2
84	UPF0751 protein pXO1-84/BXA0114/GBAA_pXO1_0114	2
>2	Terminal beta-(1->2)-arabinofuranosyltransferase	0
>3	Alpha-(1->3)-arabinofuranosyltransferase	0
>6	Alpha-(1->6)-mannopyranosyltransferase A	0
A1	Basic membrane protein A1	1
A2	Basic membrane protein A2	1
A3	Spore germination protein A3	1
AC	Chondroitinase-AC	1
AI	AI-2 transport protein TqsA	1
B1	Fumonisin B1 esterase	1
B2	Bacteriocin carnobacteriocin B2	1
B3	Spore germination protein B3	1
BJ	Cytochrome P450 BJ-1	1
BL	Hemolysin BL-binding component	1
BM	Cytochrome P450(BM-1)	1
BN	Ribonuclease BN	1
C1	Botulinum neurotoxin type C1	1
C2	Small heat shock protein C2	1
C3	Small heat shock protein C3	1
C4	Small heat shock protein C4	1
CO	CO-responsive transcriptional regulator RcoM	1
Cl	H(+)/Cl(-) exchange transporter ClcA	1
Co	Co-chaperone protein HscB	1
Cu	Superoxide dismutase [Cu-Zn]	2
