null	No.	OK	change	protein name	old
U01	1			CpcA protein	CpcA
U01	2			RbcX protein	RbcX
R00	3			DNA-directed RNA polymerase	DNA-dependent RNA polymerase
R00	4			Photosystem I P700 chlorophyll a apoprotein	P700 apoprotein subunit Ia
U01	5			NifH protein	NifH
R00	6			DNA replication and repair protein RecF	recombinase RecF
R00	7			DNA-directed RNA polymerase	DNA directed RNA polymerase beta subunit
R00	8			DNA-directed RNA polymerase	RNA polymerase subunit
U01	9			KaiC protein	KaiC
U01	10			CpcB protein	CpcB
U01	11			PsbA protein	PsbA
U01	12			CpmA protein	CpmA
U01	13			AnaC protein	AnaC
R00	14			DNA-directed RNA polymerase	DNA dependent RNA polymerase
R00	15			Ferredoxin--NADP reductase	ferredoxin-NADP+ oxidoreductase
U00	16			Outer membrane protein assembly factor YaeT	outer membrane protein assembly factor YaeT precursor
U00	17			UPF0192 protein all5100	UPF0192 protein all5100 precursor
U00	18			Membrane-bound lytic murein transglycosylase A	membrane-bound lytic murein transglycosylase A precursor
U02	19			hypothetical protein	conserved hypothetical protein
U02	20			hypothetical protein	protein of unknown function UPF0150
U02	21			hypothetical protein	uncharacterized protein
R00	22			DNA-directed RNA polymerase subunit omega	DNA-directed RNA polymerase omega subunit
R00	23			Shikimate kinase	shikimate kinase I
R00	24			Sulfate/thiosulfate import ATP-binding protein CysA	sulfate and thiosulfate import ATP-binding protein CysA
R00	25			1-deoxy-D-xylulose-5-phosphate synthase	1-deoxy-D-xylulose 5-phosphate synthase
R00	26			Glucose-6-phosphate isomerase	glucose-6-phosphate isomerase
R00	27			1,4-alpha-glucan branching enzyme GlgB	1,4-alpha-glucan (glycogen) branching enzyme
R00	28			Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	glucosamine--fructose-6-phosphate aminotransferase [isomerizing]
R00	29			Glycogen synthase	glycogen synthase
R00	30			Oxygen-dependent coproporphyrinogen-III oxidase	coproporphyrinogen III oxidase
R00	31			Translation initiation factor IF-2	translation initiation factor 2
R00	32			Potassium-transporting ATPase KdpC subunit	potassium-transporting ATPase C chain
R00	33			Circadian clock protein kinase KaiC	circadian clock protein KaiC
R00	34			Guanylate kinase	guanylate kinase
R00	35			Lipoyl synthase	lipoate synthase
R00	36			Putative manganese efflux pump MntP	hypothetical protein
R00	37			Cyclic pyranopterin monophosphate synthase accessory protein	molybdenum cofactor biosynthesis protein MoaC
R00	38			Bifunctional pantoate ligase/cytidylate kinase	pantoate--beta-alanine ligase
R00	39			Transcriptional repressor NrdR	ribonucleotide reductase transcriptional regulator NrdR
R00	40			NAD(P)H-quinone oxidoreductase chain 4	NADH dehydrogenase I subunit 4
R00	41			NAD(P)H-quinone oxidoreductase subunit 2	NAD(P)H-plastoquinone oxidoreductase chain 2
R00	42			Transcription termination/antitermination protein NusG	transcription antitermination protein NusG
R00	43			4-hydroxybenzoate solanesyltransferase	4-hydroxybenzoate polyprenyltransferase
R00	44			Dihydroorotase	dihydroorotase
R00	45			Formyltetrahydrofolate deformylase	formyltetrahydrofolate deformylase
