biosample_accession	*sample_name	*sample_title	description	*organism	*taxonomy_id	bioproject_id	strain	breed	cultivar	isolate	label	biomaterial_provider	*collection_date	*env_biome	*env_feature	*env_material	*geo_loc_name	*lat_lon	*project_name	rel_to_oxygen	samp_collect_device	samp_mat_process	sample_size	depth	alkalinity	biochem_oxygen_dem	chem_administration	chem_oxygen_dem	efficiency_percent	emulsions	gaseous_substances	indust_eff_percent	inorg_particles	misc_param	nitrate	org_particles	organism_count	oxy_stat_samp	perturbation	ph	phosphate	pre_treatment	primary_treatment	reactor_type	samp_salinity	samp_store_dur	samp_store_loc	samp_store_temp	secondary_treatment	sewage_type	sludge_retent_time	sodium	soluble_inorg_mat	soluble_org_mat	suspend_solids	temp	tertiary_treatment	tot_nitro	tot_phosphate	wastewater_type
SAMD00028888	R1	C-16-DNA	DNA of control at day 16	mixed culture	1306155	PRJDB3842							2014-04-01	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028889	R10	45-5-42-RNA1	RNA of 45C 5min at day 42 (replicate 1)	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028890	R11	45-5-42-RNA2	RNA of 45C 5min at day 42 (replicate 2)	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028891	R12	45-5-42-RNA3	RNA of 45C 5min at day 42 (replicate 3)	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028892	R13	45-15-42-DNA	DNA of 45C 15min at day 42	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028893	R14	45-15-42-RNA1	RNA of 45C 15min at day 42 (replicate 1)	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028894	R15	45-15-42-RNA2	RNA of 45C 15min at day 42 (replicate 2)	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028895	R16	45-15-42-RNA3	RNA of 45C 15min at day 42 (replicate 3)	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028896	R17	50-5-42-DNA	DNA of 50C 5min at day 42	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028897	R18	50-5-42-RNA1	RNA of 50C 5min at day 42 (replicate 1)	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028898	R19	50-5-42-RNA2	RNA of 50C 5min at day 42 (replicate 2)	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028899	R2	C-16-RNA1	RNA of control at day 16 (replicate 1)	mixed culture	1306155	PRJDB3842							2014-04-01	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028900	R20	50-5-42-RNA3	RNA of 50C 5min at day 42 (replicate 3)	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028901	R21	50-15-42-DNA	DNA of 50C 15min at day 42	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
