*sample_name	*sample_title	description	*organism	*taxonomy_id	bioproject_id	locus_tag_prefix	strain	breed	cultivar	isolate	label	biomaterial_provider	*collection_date	*env_biome	*env_feature	*env_material	*geo_loc_name	*lat_lon	*project_name	*isol_growth_condt	ref_biomaterial	*num_replicons	*estimated_size	*ploidy	*propagation	biotic_relationship	extrachrom_elements	health_disease_stat	host	host_spec_range	pathogenicity	samp_collect_device	samp_mat_process	sample_size	source_material_id	subspecf_gen_lin	trophic_level
A.MELLIFERA.TEX.1-4241	Apis mellifera. Texas. Individual name 1-4241		Apis mellifera	7460	PRJDB3873					1-4241			1996	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.10-663	Apis mellifera. Texas. Individual name 10-663		Apis mellifera	7460	PRJDB3873					10-663			1992	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.100-4312	Apis mellifera. Texas. Individual name 100-4312		Apis mellifera	7460	PRJDB3873					100-4312			1997	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.101-4338	Apis mellifera. Texas. Individual name 101-4338		Apis mellifera	7460	PRJDB3873					101-4338			1998	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.102-4348	Apis mellifera. Texas. Individual name 102-4348		Apis mellifera	7460	PRJDB3873					102-4348			1998	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.103-4369	Apis mellifera. Texas. Individual name 103-4369		Apis mellifera	7460	PRJDB3873					103-4369			1999	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.104-4269	Apis mellifera. Texas. Individual name 104-4269		Apis mellifera	7460	PRJDB3873					104-4269			1996	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.105-4272	Apis mellifera. Texas. Individual name 105-4272		Apis mellifera	7460	PRJDB3873					105-4272			1996	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.106-4292	Apis mellifera. Texas. Individual name 106-4292		Apis mellifera	7460	PRJDB3873					106-4292			1997	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.107-4293	Apis mellifera. Texas. Individual name 107-4293		Apis mellifera	7460	PRJDB3873					107-4293			1997	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
