biosample_accession	*sample_name	*sample_title	description	*organism	*taxonomy_id	bioproject_id	strain	breed	cultivar	isolate	label	biomaterial_provider	*collection_date	*env_biome	*env_feature	*env_material	*geo_loc_name	*lat_lon	*project_name	ref_biomaterial	*host	rel_to_oxygen	samp_collect_device	samp_mat_process	sample_size	source_material_id	depth	elev	altitude	age	air_temp_regm	antibiotic_regm	body_product	chem_administration	chem_mutagen	climate_environment	dry_mass	fertilizer_regm	fungicide_regm	gaseous_environment	genotype	gravity	growth_hormone_regm	growth_med	height_or_length	herbicide_regm	host_common_name	host_disease_stat	host_taxid	humidity_regm	infra_specific_name	infra_specific_rank	life_stage	mechanical_damage	mineral_nutr_regm	misc_param	non_mineral_nutr_regm	organism_count	oxy_stat_samp	perturbation	pesticide_regm	ph_regm	phenotype	plant_body_site	plant_product	radiation_regm	rainfall_regm	salt_regm	samp_salinity	samp_store_dur	samp_store_loc	samp_store_temp	season_environment	standing_water_regm	temp	tiss_cult_growth_med	tot_mass	water_temp_regm	watering_regm	wet_mass
SAMD00019363	130531_A001	130531_A001	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019364	130531_A002	130531_A002	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Tarenna sp.																																																											
SAMD00019365	130531_A003	130531_A003	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Unidentified																																																											
SAMD00019366	130531_A004	130531_A004	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Memecylon ovatum																																																											
SAMD00019367	130531_A005	130531_A005	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019368	130531_A006	130531_A006	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Walsura trichostemon																																																											
SAMD00019369	130531_A007	130531_A007	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Strychnos kerrii																																																											
SAMD00019370	130531_A008	130531_A008	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hydnocarpus ilicifolius																																																											
SAMD00019371	130531_A017	130531_A017	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019372	130531_A018	130531_A018	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Vatica cinerea																																																											
SAMD00019373	130531_A019	130531_A019	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Luvunga scandens																																																											
SAMD00019374	130531_A022	130531_A022	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Melodorum sp.																																																											
SAMD00019375	130531_A023	130531_A023	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Walsura robusta																																																											
SAMD00019376	130531_A024	130531_A024	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Walsura trichostemon																																																											
SAMD00019377	130531_A025	130531_A025	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Shorea henryana																																																											
SAMD00019378	130531_A026	130531_A026	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Schefflera bengalensis																																																											
SAMD00019379	130531_A027	130531_A027	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Dialium cochinchinense																																																											
SAMD00019380	130531_A028	130531_A028	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Grewia paniculata																																																											
SAMD00019381	130531_A029	130531_A029	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Memecylon caeruleum																																																											
