biosample_accession	*sample_name	*sample_title	description	*organism	*taxonomy_id	bioproject_id	locus_tag_prefix	strain	breed	cultivar	isolate	label	biomaterial_provider	*collection_date	*env_biome	*env_feature	*env_material	*geo_loc_name	*lat_lon	*project_name	*isol_growth_condt	*ref_biomaterial	*num_replicons	estimated_size	biotic_relationship	encoded_traits	extrachrom_elements	health_disease_stat	host	host_spec_range	pathogenicity	rel_to_oxygen	samp_collect_device	samp_mat_process	sample_size	source_material_id	subspecf_gen_lin	trophic_level
SAMD00046702	NBRC 100056	Cupriavidus numazuensis NBRC 100056		Cupriavidus numazuensis NBRC 100056	1218073	PRJDB246	WN1	NBRC 100056						missing	missing	missing	missing	missing	missing	Cupriavidus numazuensis NBRC 100056 genome sequencing project	missing	missing	missing													NBRC 100056		
SAMD00046703	NBRC 102051	Novosphingobium naphthalenivorans NBRC 102051		Novosphingobium naphthalenivorans NBRC 102051	1219034	PRJDB313	NN5	NBRC 102051						missing	missing	missing	missing	missing	missing	Novosphingobium naphthalenivorans NBRC 102051 genome sequencing project	missing	missing	missing													NBRC 102051		
SAMD00046704	NBRC 102152	Psychrobacter phenylpyruvicus NBRC 102152		Psychrobacter phenylpyruvicus DSM 7000 = NBRC 102152	1123034	PRJDB411	PP14	NBRC 102152						missing	missing	missing	missing	missing	missing	Psychrobacter phenylpyruvicus NBRC 102152 genome sequencing project	missing	missing	missing													NBRC 102152		
SAMD00046705	NBRC 102154	Moraxella lacunata NBRC 102154		Moraxella lacunata NBRC 102154	1223506	PRJDB432	ML1	NBRC 102154						missing	missing	missing	missing	missing	missing	Moraxella lacunata NBRC 102154 genome sequencing project	missing	missing	missing													NBRC 102154		
SAMD00046706	NBRC 102517	Sphingobium cloacae NBRC 102517		Sphingobium cloacae NBRC 102517	1223531	PRJDB456	SC4	NBRC 102517						missing	missing	missing	missing	missing	missing	Sphingobium cloacae NBRC 102517 genome sequencing project	missing	missing	missing													NBRC 102517		
SAMD00046707	NBRC 102518	Sphingobium amiense NBRC 102518		Sphingobium amiense NBRC 102518	1223534	PRJDB459	SAM01S	NBRC 102518						missing	missing	missing	missing	missing	missing	Sphingobium amiense NBRC 102518 genome sequencing project	missing	missing	missing													NBRC 102518		
SAMD00046708	NBRC 102523	Herbaspirillum rubrisubalbicans NBRC 102523		Herbaspirillum rubrisubalbicans NBRC 102523	1223495	PRJDB421	HR1	NBRC 102523						missing	missing	missing	missing	missing	missing	Herbaspirillum rubrisubalbicans NBRC 102523 genome sequencing project	missing	missing	missing													NBRC 102523		
SAMD00046709	NBRC 107847	Novosphingobium lentum NBRC 107847		Novosphingobium lentum NBRC 107847	1219033	PRJDB312	NL2	NBRC 107847						missing	missing	missing	missing	missing	missing	Novosphingobium lentum NBRC 107847 genome sequencing project	missing	missing	missing													NBRC 107847		
SAMD00046710	NBRC 14588	Moraxella atlantae NBRC 14588		Moraxella atlantae NBRC 14588	1223508	PRJDB434	MA2	NBRC 14588						missing	missing	missing	missing	missing	missing	Moraxella atlantae NBRC 14588 genome sequencing project	missing	missing	missing													NBRC 14588		
SAMD00046711	NBRC 14940	Klebsiella pneumoniae subsp. pneumoniae NBRC 14940		Klebsiella pneumoniae subsp. pneumoniae NBRC 14940	1218099	PRJDB272	KP2	NBRC 14940						missing	missing	missing	missing	missing	missing	Klebsiella pneumoniae subsp. pneumoniae NBRC 14940 genome sequencing project	missing	missing	missing													NBRC 14940		
SAMD00046712	NBRC 15208	Sphingomonas rosa NBRC 15208		Novosphingobium rosa NBRC 15208	1219053	PRJDB332	SR3	NBRC 15208						missing	missing	missing	missing	missing	missing	Sphingomonas rosa NBRC 15208 genome sequencing project	missing	missing	missing													NBRC 15208		
SAMD00046713	NBRC 15645	Vibrio vulnificus NBRC 15645		Vibrio vulnificus NBRC 15645 = ATCC 27562	1219061	PRJDB340	VIBVU1	NBRC 15645						missing	missing	missing	missing	missing	missing	Vibrio vulnificus NBRC 15645 genome sequencing project	missing	missing	missing													NBRC 15645		
SAMD00046714	NBRC 16172	Sphingomonas chlorophenolica NBRC 16172		Sphingobium chlorophenolicum NBRC 16172	1219044	PRJDB323	SC6	NBRC 16172						missing	missing	missing	missing	missing	missing	Sphingomonas chlorophenolica NBRC 16172 genome sequencing project	missing	missing	missing													NBRC 16172		
SAMD00046715	NBRC 16415	Sphingomonas herbicidovorans NBRC 16415		Sphingobium herbicidovorans NBRC 16415	1219045	PRJDB324	SH1	NBRC 16415						missing	missing	missing	missing	missing	missing	Sphingomonas herbicidovorans NBRC 16415 genome sequencing project	missing	missing	missing													NBRC 16415		
SAMD00046716	NBRC 3908	Shewanella putrefaciens NBRC 3908		Shewanella putrefaciens JCM 20190 = NBRC 3908	1236543	PRJDB463	SP3	NBRC 3908						missing	missing	missing	missing	missing	missing	Shewanella putrefaciens NBRC 3908 genome sequencing project	missing	missing	missing													NBRC 3908		
